JD,yyyy,-,mm,-,day,day,n_g,n_s,Wn,s_g,s_s,Ws,Wolf
2455928," 2012",-,Jan,-,1,1,2,3,23,4,27,67,90.00
2455929," 2012",-,Jan,-,2,2,4,18,58,4,27,67,125.00
2455930," 2012",-,Jan,-,3,3,3,24,54,4,29,69,123.00
2455931," 2012",-,Jan,-,4,4,4,29,69,5,15,65,134.00
2455932," 2012",-,Jan,-,5,5,6,31,91,3,6,36,127.00
2455933," 2012",-,Jan,-,6,6,4,36,76,4,9,49,125.00
2455934," 2012",-,Jan,-,7,7,5,35,85,3,3,33,118.00
2455935," 2012",-,Jan,-,8,8,5,28,78,2,2,22,100.00
2455936," 2012",-,Jan,-,9,9,5,22,72,1,1,11,83.00
2455937," 2012",-,Jan,-,10,10,3,25,55,2,3,23,78.00
2455938," 2012",-,Jan,-,11,11,5,19,69,1,2,12,81.00
2455939," 2012",-,Jan,-,12,12,4,18,58,1,1,11,69.00
2455940," 2012",-,Jan,-,13,13,4,27,67,3,8,38,105.00
2455941," 2012",-,Jan,-,14,14,8,37,117,5,9,59,176.00
2455942," 2012",-,Jan,-,15,15,8,38,118,4,11,51,169.00
2455943," 2012",-,Jan,-,16,16,7,40,110,5,12,62,172.00
2455944," 2012",-,Jan,-,17,17,8,45,125,4,13,53,178.00
2455945," 2012",-,Jan,-,18,18,7,39,109,3,6,36,145.00
2455946," 2012",-,Jan,-,19,19,5,42,92,2,4,24,116.00
2455947," 2012",-,Jan,-,20,20,7,44,114,1,1,11,125.00
2455948," 2012",-,Jan,-,21,21,6,47,107,0,0,0,107.00
2455949," 2012",-,Jan,-,22,22,8,50,130,1,2,12,142.00
2455950," 2012",-,Jan,-,23,23,7,41,111,1,1,11,122.00
2455951," 2012",-,Jan,-,24,24,7,27,97,1,1,11,108.00
2455952," 2012",-,Jan,-,25,25,4,14,54,2,2,22,76.00
2455953," 2012",-,Jan,-,26,26,4,12,52,5,11,61,113.00
2455954," 2012",-,Jan,-,27,27,3,6,36,2,6,26,62.00
2455955," 2012",-,Jan,-,28,28,3,7,37,3,10,40,77.00
2455956," 2012",-,Jan,-,29,29,4,14,54,3,9,39,93.00
2455957," 2012",-,Jan,-,30,30,5,27,77,2,10,30,107.00
2455958," 2012",-,Jan,-,31,31,4,24,64,2,10,30,94.00
2455959," 2012",-,Feb,-,1,1,4,19,59,2,7,27,86.00
2455960," 2012",-,Feb,-,2,2,2,16,36,1,2,12,48.00
2455961," 2012",-,Feb,-,3,3,2,8,28,0,0,0,28.00
2455962," 2012",-,Feb,-,4,4,2,3,23,1,2,12,35.00
