JD,date,n_g,n_s,Wn,s_g,s_s,Ws,Wolf,NS,SS
2448625,1992-01-01,0,0,0,9,22,112,112.0,0,186
2448626,1992-01-02,3,4,34,6,19,79,113.0,18,172
2448627,1992-01-03,2,2,22,7,74,144,166.0,26,208
2448628,1992-01-04,5,11,61,7,43,113,174.0,54,189
2448629,1992-01-05,6,10,70,7,38,108,178.0,58,184
2448630,1992-01-06,7,26,96,5,21,71,167.0,79,166
2448631,1992-01-07,8,56,136,5,99,149,285.0,124,127
2448632,1992-01-08,6,65,125,5,89,139,264.0,132,138
2448635,1992-01-11,6,39,99,7,65,135,234.0,91,114
2448636,1992-01-12,5,31,81,6,55,115,196.0,79,110
2448637,1992-01-13,6,17,77,7,65,135,212.0,75,113
2448638,1992-01-14,3,10,40,7,46,116,156.0,42,101
2448639,1992-01-15,2,8,28,9,39,129,157.0,34,107
2448640,1992-01-16,2,12,32,4,40,80,112.0,26,89
2448641,1992-01-17,2,7,27,5,21,71,98.0,30,70
2448642,1992-01-18,2,9,29,5,22,72,101.0,26,68
2448643,1992-01-19,4,28,68,5,28,78,146.0,47,69
2448647,1992-01-23,2,36,56,8,28,108,164.0,60,95
2448649,1992-01-25,5,27,77,10,32,132,209.0,63,105
2448650,1992-01-26,5,27,77,10,67,167,244.0,62,134
2448652,1992-01-28,6,36,96,9,91,181,277.0,88,159
2448653,1992-01-29,7,45,115,9,07,97,212.0,90,169
2448654,1992-01-30,7,25,95,10,25,125,220.0,91,199
2448655,1992-01-31,6,37,97,10,13,113,210.0,88,209
2448654,1992-02-01,6,46,106,11,47,157,263.0,96,245
2448656,1992-02-03,5,29,79,9,42,132,211.0,80,198
2448657,1992-02-04,3,10,40,9,07,97,137.0,59,196
2448658,1992-02-05,3,7,37,10,94,194,231.0,43,192
2448659,1992-02-06,3,12,42,9,11,101,143.0,47,181
2448661,1992-02-08,4,51,91,10,93,193,284.0,92,164
2448662,1992-02-09,4,80,120,8,01,81,201.0,107,161
2448663,1992-02-10,4,85,125,7,74,144,269.0,116,132
2448664,1992-02-11,3,22,52,8,88,168,220.0,128,133
2448666,1992-02-13,3,78,108,7,63,133,241.0,105,107
2448668,1992-02-15,3,55,85,7,73,143,228.0,63,96
2448669,1992-02-16,3,32,62,6,52,112,174.0,61,96
2448670,1992-02-17,3,24,54,5,46,96,150.0,56,100
2448671,1992-02-18,2,11,31,7,36,106,137.0,37,105
2448672,1992-02-19,3,18,48,6,30,90,138.0,55,90
2448673,1992-02-20,3,17,47,6,19,79,126.0,67,101
2448674,1992-02-21,4,36,76,6,16,76,152.0,89,107
2448675,1992-02-22,5,57,107,7,25,95,202.0,114,92
2448676,1992-02-23,7,65,135,7,22,92,227.0,130,85
2448677,1992-02-24,9,86,176,7,29,99,275.0,169,100
2448678,1992-02-25,8,50,130,9,44,134,264.0,170,105
2448679,1992-02-26,6,84,144,7,24,94,238.0,184,97
2448680,1992-02-27,7,18,88,9,51,141,229.0,175,100
2448681,1992-02-28,7,17,87,8,55,135,222.0,150,123
2448682,1992-02-29,7,76,146,8,48,128,274.0,133,119
2448684,1992-03-01,7,55,125,8,53,133,258.0,120,115
2448685,1992-03-02,7,29,99,8,30,110,209.0,79,96
2448686,1992-03-03,5,11,61,7,16,86,147.0,69,81
2448687,1992-03-04,5,6,56,4,23,63,119.0,64,66
2448688,1992-03-05,5,13,63,2,16,36,99.0,55,37
2448689,1992-03-06,4,14,54,2,12,32,86.0,60,38
2448691,1992-03-08,3,8,38,6,66,126,164.0,48,102
2448692,1992-03-09,3,6,36,6,53,113,149.0,48,119
2448693,1992-03-10,3,12,42,9,67,157,199.0,42,135
2448694,1992-03-11,3,3,33,7,24,94,127.0,41,132
2448695,1992-03-12,3,6,36,10,58,158,194.0,37,140
2448696,1992-03-13,2,4,24,12,53,173,197.0,33,162
2448697,1992-03-14,3,3,33,8,43,123,156.0,30,154
2448698,1992-03-15,2,5,25,7,66,136,161.0,24,132
2448699,1992-03-16,2,4,24,6,48,108,132.0,27,124
2448700,1992-03-17,3,3,33,5,26,76,109.0,35,85
2448701,1992-03-18,2,7,27,5,32,82,109.0,28,78
2448702,1992-03-19,2,17,37,3,16,46,83.0,45,65
2448704,1992-03-21,4,21,61,4,5,45,106.0,69,60
2448705,1992-03-22,5,25,75,8,12,92,167.0,65,62
2448706,1992-03-23,6,32,92,3,9,39,131.0,81,49
2448710,1992-03-27,3,55,85,5,38,88,173.0,72,85
2448713,1992-03-30,1,48,58,7,53,123,181.0,49,102
2448716,1992-04-02,2,33,53,4,49,89,142.0,48,87
2448717,1992-04-03,2,31,51,4,28,68,119.0,48,77
2448718,1992-04-04,2,19,39,3,23,53,92.0,41,50
2448723,1992-04-09,1,3,13,4,66,106,119.0,0,83
2448724,1992-04-10,1,2,12,5,48,98,110.0,13,64
2448725,1992-04-11,1,2,12,4,25,65,77.0,13,75
2448726,1992-04-12,1,5,15,6,43,103,118.0,14,80
2448727,1992-04-13,1,9,19,3,21,51,70.0,26,71
2448728,1992-04-14,2,20,40,4,29,69,109.0,37,70
2448731,1992-04-17,4,12,52,7,80,150,202.0,41,126
2448732,1992-04-18,1,4,14,7,56,126,140.0,37,147
2448733,1992-04-19,3,11,41,7,79,149,190.0,43,155
2448734,1992-04-20,3,10,40,8,68,148,188.0,46,186
2448735,1992-04-21,2,18,38,9,28,118,156.0,37,214
2448736,1992-04-22,2,17,37,8,15,95,132.0,37,207
2448738,1992-04-24,2,23,43,8,67,147,190.0,54,154
2448739,1992-04-25,5,36,86,8,83,163,249.0,74,153
2448740,1992-04-26,3,35,65,9,46,136,201.0,71,104
2448741,1992-04-27,4,40,80,5,24,74,154.0,70,67
2448742,1992-04-28,3,15,45,6,28,88,133.0,57,81
2448747,1992-05-03,2,14,34,5,34,84,118.0,32,83
2448748,1992-05-04,2,27,47,6,68,128,175.0,27,98
2448749,1992-05-05,2,18,38,6,68,128,166.0,26,97
2448750,1992-05-06,3,3,33,6,40,100,133.0,14,105
2448751,1992-05-07,2,2,22,5,33,83,105.0,9,83
2448752,1992-05-08,1,7,17,6,41,101,118.0,18,87
2448753,1992-05-09,1,20,30,6,42,102,132.0,29,72
2448754,1992-05-10,1,9,19,5,24,74,93.0,24,69
2448755,1992-05-11,1,13,23,4,21,61,84.0,24,63
2448756,1992-05-12,1,2,12,5,16,66,78.0,15,87
2448757,1992-05-13,2,4,24,7,32,102,126.0,26,85
2448758,1992-05-14,0,0,0,8,34,114,114.0,13,87
2448759,1992-05-15,0,0,0,6,42,102,102.0,0,83
2448760,1992-05-16,0,0,0,5,14,64,64.0,0,58
2448761,1992-05-17,0,0,0,4,14,54,54.0,0,52
2448762,1992-05-18,1,7,17,2,6,26,43.0,15,60
2448763,1992-05-19,1,26,36,3,7,37,73.0,28,41
2448765,1992-05-21,2,53,73,4,31,71,144.0,60,81
2448766,1992-05-22,2,45,65,5,24,74,139.0,64,72
2448768,1992-05-24,1,32,42,5,24,74,116.0,46,81
2448769,1992-05-25,2,32,52,4,6,46,98.0,48,36
2448770,1992-05-26,2,39,59,4,10,50,109.0,41,32
2448771,1992-05-27,5,26,76,3,10,40,116.0,64,38
2448772,1992-05-28,4,19,59,4,9,49,108.0,48,27
2448773,1992-05-29,4,11,51,1,2,12,63.0,39,13
2448774,1992-05-30,1,2,12,3,8,38,50.0,11,27
2448775,1992-05-31,1,5,15,1,2,12,27.0,22,20
2448776,1992-06-01,3,13,43,1,3,13,56.0,32,15
2448777,1992-06-02,2,18,38,1,4,14,52.0,41,16
2448779,1992-06-04,4,20,60,3,9,39,99.0,80,32
2448780,1992-06-05,5,31,81,3,8,38,119.0,84,39
2448781,1992-06-06,5,45,95,2,6,26,121.0,91,15
2448782,1992-06-07,4,39,79,1,3,13,92.0,82,15
2448783,1992-06-08,3,43,73,1,4,14,87.0,77,14
2448784,1992-06-09,3,44,74,1,6,16,90.0,91,15
2448785,1992-06-10,4,46,86,2,4,24,110.0,88,24
2448786,1992-06-11,4,53,93,2,13,33,126.0,83,41
2448788,1992-06-13,4,24,64,3,11,41,105.0,70,60
2448789,1992-06-14,4,13,53,4,8,48,101.0,71,45
2448790,1992-06-15,4,8,48,4,11,51,99.0,44,47
2448791,1992-06-16,4,16,56,5,21,71,127.0,41,56
2448792,1992-06-17,3,23,53,5,34,84,137.0,39,58
2448793,1992-06-18,4,10,50,4,15,55,105.0,33,56
2448795,1992-06-20,2,13,33,3,22,52,85.0,38,47
2448796,1992-06-21,2,20,40,3,20,50,90.0,45,38
2448797,1992-06-22,4,41,81,2,23,43,124.0,68,36
2448799,1992-06-24,4,32,72,1,19,29,101.0,82,24
2448801,1992-06-26,4,14,54,1,3,13,67.0,74,15
2448802,1992-06-27,3,19,49,0,0,0,49.0,44,13
2448803,1992-06-28,3,19,49,1,4,14,63.0,48,17
2448804,1992-06-29,5,26,76,1,2,12,88.0,94,12
2448805,1992-06-30,5,30,80,1,1,11,91.0,84,17
2448806,1992-07-01,5,68,118,2,9,29,147.0,88,16
2448807,1992-07-02,2,94,114,1,4,14,128.0,77,11
2448808,1992-07-03,2,01,21,0,0,0,21.0,84,0
2448809,1992-07-04,2,93,113,1,2,12,125.0,84,11
2448811,1992-07-06,2,84,104,2,17,37,141.0,70,33
2448812,1992-07-07,2,37,57,3,19,49,106.0,56,49
2448813,1992-07-08,1,32,42,4,75,115,157.0,35,76
2448814,1992-07-09,1,25,35,7,88,158,193.0,29,107
2448818,1992-07-13,5,7,57,4,19,59,116.0,37,131
2448819,1992-07-14,4,23,63,5,32,82,145.0,41,160
2448820,1992-07-15,7,29,99,6,92,152,251.0,73,141
2448821,1992-07-16,6,39,99,5,61,111,210.0,91,121
2448822,1992-07-17,8,27,107,5,46,96,203.0,90,96
2448823,1992-07-18,8,34,114,4,24,64,178.0,76,60
